count,error_type,format,model_cell
6,arithmetic_error,iso_8601,large_non_reasoning
1,extraction_error,iso_8601,large_non_reasoning
8,arithmetic_error,iso_8601,large_reasoning
2,extraction_error,iso_8601,large_reasoning
8,arithmetic_error,iso_8601,med_non_reasoning
1,extraction_error,iso_8601,med_non_reasoning
7,arithmetic_error,iso_8601,med_reasoning
1,syntax_error,iso_8601,med_reasoning
9,arithmetic_error,iso_8601,small_non_reasoning
3,extraction_error,iso_8601,small_non_reasoning
2,timezone_error,iso_8601,small_non_reasoning
10,arithmetic_error,iso_8601,small_reasoning
1,extraction_error,iso_8601,small_reasoning
1,timezone_error,iso_8601,small_reasoning
6,arithmetic_error,javascript_date,large_non_reasoning
5,day_of_week_error,javascript_date,large_non_reasoning
1,extraction_error,javascript_date,large_non_reasoning
1,unknown,javascript_date,large_non_reasoning
8,arithmetic_error,javascript_date,large_reasoning
1,extraction_error,javascript_date,large_reasoning
3,arithmetic_error,javascript_date,med_non_reasoning
16,day_of_week_error,javascript_date,med_non_reasoning
3,extraction_error,javascript_date,med_non_reasoning
9,unknown,javascript_date,med_non_reasoning
9,arithmetic_error,javascript_date,med_reasoning
9,arithmetic_error,javascript_date,small_non_reasoning
6,day_of_week_error,javascript_date,small_non_reasoning
3,extraction_error,javascript_date,small_non_reasoning
9,arithmetic_error,javascript_date,small_reasoning
5,day_of_week_error,javascript_date,small_reasoning
9,arithmetic_error,natural_language,large_non_reasoning
3,day_of_week_error,natural_language,large_non_reasoning
1,extraction_error,natural_language,large_non_reasoning
1,syntax_error,natural_language,large_non_reasoning
8,arithmetic_error,natural_language,large_reasoning
1,instruction_violation,natural_language,large_reasoning
3,arithmetic_error,natural_language,med_non_reasoning
11,day_of_week_error,natural_language,med_non_reasoning
1,syntax_error,natural_language,med_non_reasoning
5,timezone_error,natural_language,med_non_reasoning
5,unknown,natural_language,med_non_reasoning
9,arithmetic_error,natural_language,med_reasoning
12,timezone_error,natural_language,med_reasoning
6,arithmetic_error,natural_language,small_non_reasoning
5,day_of_week_error,natural_language,small_non_reasoning
3,extraction_error,natural_language,small_non_reasoning
3,timezone_error,natural_language,small_non_reasoning
9,arithmetic_error,natural_language,small_reasoning
9,day_of_week_error,natural_language,small_reasoning
1,extraction_error,natural_language,small_reasoning
9,timezone_error,natural_language,small_reasoning
8,arithmetic_error,python_datetime,large_non_reasoning
2,extraction_error,python_datetime,large_non_reasoning
7,arithmetic_error,python_datetime,large_reasoning
1,extraction_error,python_datetime,large_reasoning
6,arithmetic_error,python_datetime,med_non_reasoning
2,extraction_error,python_datetime,med_non_reasoning
4,arithmetic_error,python_datetime,med_reasoning
8,arithmetic_error,python_datetime,small_non_reasoning
3,extraction_error,python_datetime,small_non_reasoning
1,timezone_error,python_datetime,small_non_reasoning
8,arithmetic_error,python_datetime,small_reasoning
1,extraction_error,python_datetime,small_reasoning
1,timezone_error,python_datetime,small_reasoning
6,arithmetic_error,rfc_2822,large_non_reasoning
2,day_of_week_error,rfc_2822,large_non_reasoning
1,extraction_error,rfc_2822,large_non_reasoning
8,arithmetic_error,rfc_2822,large_reasoning
7,arithmetic_error,rfc_2822,med_non_reasoning
6,day_of_week_error,rfc_2822,med_non_reasoning
1,extraction_error,rfc_2822,med_non_reasoning
2,unknown,rfc_2822,med_non_reasoning
8,arithmetic_error,rfc_2822,med_reasoning
8,arithmetic_error,rfc_2822,small_non_reasoning
12,day_of_week_error,rfc_2822,small_non_reasoning
4,extraction_error,rfc_2822,small_non_reasoning
2,timezone_error,rfc_2822,small_non_reasoning
9,arithmetic_error,rfc_2822,small_reasoning
7,day_of_week_error,rfc_2822,small_reasoning
1,timezone_error,rfc_2822,small_reasoning
6,arithmetic_error,rfc_3339,large_non_reasoning
1,extraction_error,rfc_3339,large_non_reasoning
8,arithmetic_error,rfc_3339,large_reasoning
1,extraction_error,rfc_3339,large_reasoning
8,arithmetic_error,rfc_3339,med_non_reasoning
1,extraction_error,rfc_3339,med_non_reasoning
8,arithmetic_error,rfc_3339,med_reasoning
10,arithmetic_error,rfc_3339,small_non_reasoning
2,extraction_error,rfc_3339,small_non_reasoning
1,timezone_error,rfc_3339,small_non_reasoning
10,arithmetic_error,rfc_3339,small_reasoning
1,timezone_error,rfc_3339,small_reasoning
