format,large_non_reasoning,large_reasoning,med_non_reasoning,med_reasoning,small_non_reasoning,small_reasoning,task_type
iso_8601,100.0,100.0,100.0,100.0,100.0,100.0,direct_generation
javascript_date,100.0,100.0,100.0,100.0,100.0,100.0,direct_generation
natural_language,100.0,100.0,100.0,100.0,100.0,100.0,direct_generation
python_datetime,100.0,100.0,100.0,100.0,100.0,100.0,direct_generation
rfc_2822,100.0,100.0,100.0,100.0,100.0,100.0,direct_generation
rfc_3339,100.0,100.0,100.0,100.0,100.0,100.0,direct_generation
iso_8601,90.0,80.0,90.0,80.0,75.0,75.0,edge_cases
javascript_date,90.0,80.0,90.0,80.0,80.0,80.0,edge_cases
natural_language,80.0,80.0,75.0,80.0,85.0,75.0,edge_cases
python_datetime,80.0,85.0,95.0,100.0,75.0,75.0,edge_cases
rfc_2822,90.0,85.0,80.0,80.0,75.0,75.0,edge_cases
rfc_3339,90.0,80.0,90.0,80.0,75.0,75.0,edge_cases
iso_8601,95.0,90.0,95.0,100.0,85.0,95.0,extraction_from_passage
javascript_date,95.0,95.0,85.0,100.0,85.0,100.0,extraction_from_passage
natural_language,95.0,95.0,100.0,100.0,85.0,95.0,extraction_from_passage
python_datetime,90.0,95.0,90.0,100.0,85.0,95.0,extraction_from_passage
rfc_2822,95.0,100.0,95.0,100.0,80.0,100.0,extraction_from_passage
rfc_3339,95.0,95.0,95.0,100.0,90.0,100.0,extraction_from_passage
iso_8601,100.0,100.0,100.0,100.0,100.0,100.0,format_conversion
javascript_date,100.0,100.0,100.0,100.0,100.0,100.0,format_conversion
natural_language,95.0,100.0,85.0,40.0,90.0,60.0,format_conversion
python_datetime,100.0,100.0,100.0,100.0,100.0,100.0,format_conversion
rfc_2822,100.0,100.0,100.0,100.0,100.0,100.0,format_conversion
rfc_3339,100.0,100.0,100.0,100.0,100.0,100.0,format_conversion
iso_8601,95.0,100.0,85.0,100.0,85.0,90.0,multi_hop_reasoning
javascript_date,75.0,100.0,55.0,100.0,80.0,75.0,multi_hop_reasoning
natural_language,85.0,100.0,70.0,95.0,80.0,55.0,multi_hop_reasoning
python_datetime,95.0,100.0,80.0,100.0,90.0,100.0,multi_hop_reasoning
rfc_2822,85.0,100.0,90.0,100.0,55.0,60.0,multi_hop_reasoning
rfc_3339,95.0,100.0,85.0,100.0,85.0,90.0,multi_hop_reasoning
iso_8601,100.0,100.0,100.0,100.0,100.0,100.0,multiple_choice_validation
javascript_date,95.0,100.0,55.0,100.0,100.0,100.0,multiple_choice_validation
natural_language,100.0,100.0,75.0,100.0,100.0,100.0,multiple_choice_validation
python_datetime,100.0,100.0,100.0,100.0,100.0,100.0,multiple_choice_validation
rfc_2822,100.0,100.0,90.0,100.0,100.0,100.0,multiple_choice_validation
rfc_3339,100.0,100.0,100.0,100.0,100.0,100.0,multiple_choice_validation
iso_8601,85.0,80.0,85.0,80.0,85.0,80.0,temporal_arithmetic
javascript_date,80.0,80.0,60.0,75.0,65.0,75.0,temporal_arithmetic
natural_language,75.0,80.0,70.0,80.0,75.0,75.0,temporal_arithmetic
python_datetime,85.0,80.0,95.0,80.0,90.0,80.0,temporal_arithmetic
rfc_2822,85.0,75.0,65.0,80.0,60.0,80.0,temporal_arithmetic
rfc_3339,85.0,80.0,85.0,80.0,85.0,80.0,temporal_arithmetic
