calendar_consistent,case_id,cleaned_output,delta_seconds,error,error_subtype,error_type,estimated_cost_usd,extraction_clean,format,format_compliance,gold_choice,gold_formatted,input_tokens,latency_ms,model,model_cell,options,output_tokens,parse_mode,provider_model,raw_output,reasoning_mode,reasoning_tokens,selected_choice,selected_option_content,semantic_correct,syntactic_valid,task_id,task_type,timestamp,warnings
False,multi_hop_016__natural_language,"Thursday, June 17, 2030 at 8:15 AM JST",0.0,,,,0.001505,True,natural_language,0.8611111111111112,,"Monday, June 17, 2030 at 8:15 AM JST",191,1656,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Thursday, June 17, 2030 at 8:15 AM JST",non_reasoning,0,,,True,True,multi_hop_016,multi_hop_reasoning,2026-03-14T07:57:17.313251Z,
,mc_019__natural_language,A,,,,,0.001415,True,natural_language,1.0,A,"Saturday, April 4, 2026 at 8:55 AM PDT",263,3593,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""Saturday, April 4, 2026 at 8:55 AM PDT"", ""B"": ""Saturday, April 4, 2026 at 8:55 PM PDT"", ""C"": ""Sunday, April 5, 2026 at 8:55 AM PDT"", ""D"": ""Sunday, April 4, 2026 at 8:55 AM PDT""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,A,non_reasoning,0,A,"Saturday, April 4, 2026 at 8:55 AM PDT",True,True,mc_019,multiple_choice_validation,2026-03-14T07:57:19.249631Z,
True,edge_002__natural_language,"Saturday, March 01, 2025 at 12:00 PM UTC",0.0,,,,0.00129,True,natural_language,0.9743589743589743,,"Saturday, March 1, 2025 at 12:00 PM UTC",153,4102,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Saturday, March 01, 2025 at 12:00 PM UTC",non_reasoning,0,,,True,True,edge_002,edge_cases,2026-03-14T07:57:19.759073Z,
,mc_008__rfc_2822,D,,,,,0.00143,True,rfc_2822,1.0,D,"Thu, 18 Feb 2027 09:10:00 +0000",266,5243,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""Fri, 19 Feb 2027 09:10:00 +0000"", ""B"": ""Thu, 18 02 2027 09:10:00 +0000"", ""C"": ""Fri, 18 Feb 2027 09:10:00 +0000"", ""D"": ""Thu, 18 Feb 2027 09:10:00 +0000""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,D,non_reasoning,0,D,"Thu, 18 Feb 2027 09:10:00 +0000",True,True,mc_008,multiple_choice_validation,2026-03-14T07:57:20.899389Z,
True,direct_gen_002__rfc_2822,"Sat, 24 Jun 2028 13:55:00 +1000",0.0,,,,0.00135,True,rfc_2822,1.0,,"Sat, 24 Jun 2028 13:55:00 +1000",155,5837,anthropic/claude-opus-4.6,large_non_reasoning,{},23,strict,anthropic/claude-4.6-opus-20260205,"Sat, 24 Jun 2028 13:55:00 +1000",non_reasoning,0,,,True,True,direct_gen_002,direct_generation,2026-03-14T07:57:21.493601Z,
True,extract_004__natural_language,"Wednesday, March 01, 2023 at 8:45 PM IST",0.0,,,,0.00175,True,natural_language,0.9743589743589743,,"Wednesday, March 1, 2023 at 8:45 PM IST",240,3855,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Wednesday, March 01, 2023 at 8:45 PM IST",non_reasoning,0,,,True,True,extract_004,extraction_from_passage,2026-03-14T07:57:25.826227Z,
True,extract_013__rfc_2822,"Wed, 14 Mar 2029 08:50:00 +0530",0.0,,,,0.00179,True,rfc_2822,1.0,,"Wed, 14 Mar 2029 08:50:00 +0530",248,4669,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Wed, 14 Mar 2029 08:50:00 +0530",non_reasoning,0,,,True,True,extract_013,extraction_from_passage,2026-03-14T07:57:27.149269Z,
True,edge_020__natural_language,"Sunday, February 01, 2026 at 11:30 PM JST",0.0,,,,0.00135,True,natural_language,0.975,,"Sunday, February 1, 2026 at 11:30 PM JST",160,4819,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Sunday, February 01, 2026 at 11:30 PM JST",non_reasoning,0,,,True,True,edge_020,edge_cases,2026-03-14T07:57:28.439635Z,
True,extract_003__natural_language,"Friday, February 25, 2022 at 5:10 PM JST",0.0,,,,0.00173,True,natural_language,1.0,,"Friday, February 25, 2022 at 5:10 PM JST",236,8585,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Friday, February 25, 2022 at 5:10 PM JST",non_reasoning,0,,,True,True,extract_003,extraction_from_passage,2026-03-14T07:57:28.620135Z,
True,format_conv_006__rfc_2822,"Thu, 21 Dec 2028 11:25:00 -0800",0.0,,,,0.00133,True,rfc_2822,1.0,,"Thu, 21 Dec 2028 11:25:00 -0800",156,4818,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Thu, 21 Dec 2028 11:25:00 -0800",non_reasoning,0,,,True,True,format_conv_006,format_conversion,2026-03-14T07:57:29.032890Z,
