count,error_type,format,model_cell
6,arithmetic_error,iso_8601,large_non_reasoning
5,extraction_error,iso_8601,large_non_reasoning
4,instruction_violation,iso_8601,large_non_reasoning
5,unknown,iso_8601,large_non_reasoning
10,arithmetic_error,iso_8601,large_reasoning
2,extraction_error,iso_8601,large_reasoning
3,unknown,iso_8601,large_reasoning
16,arithmetic_error,iso_8601,med_non_reasoning
8,extraction_error,iso_8601,med_non_reasoning
2,instruction_violation,iso_8601,med_non_reasoning
4,unknown,iso_8601,med_non_reasoning
12,arithmetic_error,iso_8601,med_reasoning
3,extraction_error,iso_8601,med_reasoning
3,unknown,iso_8601,med_reasoning
12,arithmetic_error,iso_8601,small_non_reasoning
12,extraction_error,iso_8601,small_non_reasoning
3,timezone_error,iso_8601,small_non_reasoning
1,unknown,iso_8601,small_non_reasoning
14,arithmetic_error,iso_8601,small_reasoning
5,extraction_error,iso_8601,small_reasoning
2,timezone_error,iso_8601,small_reasoning
2,unknown,iso_8601,small_reasoning
8,arithmetic_error,javascript_date,large_non_reasoning
6,day_of_week_error,javascript_date,large_non_reasoning
2,extraction_error,javascript_date,large_non_reasoning
4,instruction_violation,javascript_date,large_non_reasoning
2,unknown,javascript_date,large_non_reasoning
9,arithmetic_error,javascript_date,large_reasoning
3,extraction_error,javascript_date,large_reasoning
2,unknown,javascript_date,large_reasoning
6,arithmetic_error,javascript_date,med_non_reasoning
31,day_of_week_error,javascript_date,med_non_reasoning
8,extraction_error,javascript_date,med_non_reasoning
2,instruction_violation,javascript_date,med_non_reasoning
1,timezone_error,javascript_date,med_non_reasoning
11,unknown,javascript_date,med_non_reasoning
9,arithmetic_error,javascript_date,med_reasoning
5,day_of_week_error,javascript_date,med_reasoning
5,extraction_error,javascript_date,med_reasoning
8,unknown,javascript_date,med_reasoning
11,arithmetic_error,javascript_date,small_non_reasoning
10,day_of_week_error,javascript_date,small_non_reasoning
10,extraction_error,javascript_date,small_non_reasoning
5,unknown,javascript_date,small_non_reasoning
11,arithmetic_error,javascript_date,small_reasoning
14,day_of_week_error,javascript_date,small_reasoning
6,extraction_error,javascript_date,small_reasoning
3,timezone_error,javascript_date,small_reasoning
12,arithmetic_error,natural_language,large_non_reasoning
11,day_of_week_error,natural_language,large_non_reasoning
6,extraction_error,natural_language,large_non_reasoning
1,instruction_violation,natural_language,large_non_reasoning
1,timezone_error,natural_language,large_non_reasoning
2,unknown,natural_language,large_non_reasoning
11,arithmetic_error,natural_language,large_reasoning
3,extraction_error,natural_language,large_reasoning
4,timezone_error,natural_language,large_reasoning
1,unknown,natural_language,large_reasoning
2,arithmetic_error,natural_language,med_non_reasoning
33,day_of_week_error,natural_language,med_non_reasoning
3,extraction_error,natural_language,med_non_reasoning
7,timezone_error,natural_language,med_non_reasoning
8,unknown,natural_language,med_non_reasoning
9,arithmetic_error,natural_language,med_reasoning
5,day_of_week_error,natural_language,med_reasoning
5,extraction_error,natural_language,med_reasoning
1,syntax_error,natural_language,med_reasoning
2,timezone_error,natural_language,med_reasoning
7,arithmetic_error,natural_language,small_non_reasoning
16,day_of_week_error,natural_language,small_non_reasoning
10,extraction_error,natural_language,small_non_reasoning
14,timezone_error,natural_language,small_non_reasoning
4,unknown,natural_language,small_non_reasoning
11,arithmetic_error,natural_language,small_reasoning
17,day_of_week_error,natural_language,small_reasoning
3,extraction_error,natural_language,small_reasoning
12,timezone_error,natural_language,small_reasoning
10,arithmetic_error,python_datetime,large_non_reasoning
5,extraction_error,python_datetime,large_non_reasoning
3,instruction_violation,python_datetime,large_non_reasoning
1,timezone_error,python_datetime,large_non_reasoning
6,unknown,python_datetime,large_non_reasoning
9,arithmetic_error,python_datetime,large_reasoning
3,extraction_error,python_datetime,large_reasoning
1,unknown,python_datetime,large_reasoning
14,arithmetic_error,python_datetime,med_non_reasoning
9,extraction_error,python_datetime,med_non_reasoning
1,instruction_violation,python_datetime,med_non_reasoning
2,timezone_error,python_datetime,med_non_reasoning
7,unknown,python_datetime,med_non_reasoning
3,arithmetic_error,python_datetime,med_reasoning
5,extraction_error,python_datetime,med_reasoning
4,unknown,python_datetime,med_reasoning
13,arithmetic_error,python_datetime,small_non_reasoning
11,extraction_error,python_datetime,small_non_reasoning
1,timezone_error,python_datetime,small_non_reasoning
4,unknown,python_datetime,small_non_reasoning
11,arithmetic_error,python_datetime,small_reasoning
3,extraction_error,python_datetime,small_reasoning
1,timezone_error,python_datetime,small_reasoning
2,unknown,python_datetime,small_reasoning
5,arithmetic_error,rfc_2822,large_non_reasoning
