category,cost_usd,name,reason
total,120.640371,all,
model_cell,3.38061,anthropic_large_nr,
model_cell,11.854047,anthropic_large_r,
model_cell,2.120926,anthropic_med_nr,
model_cell,7.206638,anthropic_med_r,
model_cell,0.446032,anthropic_small_nr,
model_cell,5.597237,anthropic_small_r,
model_cell,6.011525,glm_med_nr,
model_cell,22.790236,google_large_nr,
model_cell,15.148572,google_large_r,
model_cell,0.2508,google_med_nr,
model_cell,5.413735,google_med_r,
model_cell,0.126428,google_small_nr,
model_cell,0.251657,google_small_r,
model_cell,1.127238,openai_large_nr,
model_cell,12.744914,openai_large_r,
model_cell,0.737481,openai_med_nr,
model_cell,7.615169,openai_med_nr_chat,
model_cell,5.808449,openai_med_r,
model_cell,2.644991,openai_small_nr,
model_cell,1.522137,openai_small_r,
model_cell,7.346555,qwen_large_nr,
model_cell,0.494995,qwen_small_nr,
task_type,12.974704,direct_generation,
task_type,17.272507,edge_cases,
task_type,18.432046,extraction_from_passage,
task_type,16.668027,format_conversion,
task_type,21.689165,multi_hop_reasoning,
task_type,9.861772,parsing_normalization,
task_type,23.742151,temporal_arithmetic,
unavailable_cell,0.0,qwen_large_r,"supported_parameters=frequency_penalty,include_reasoning,logit_bias,logprobs,max_tokens,min_p,presence_penalty,reasoning,repetition_penalty,response_format,seed,stop,structured_outputs,temperature,tool_choice,tools,top_k,top_logprobs,top_p;probe_incompatible:qwen/qwen3.5-27b:multi_hop_035__natural_language:syntactic=False:semantic=False"
unavailable_cell,0.0,glm_med_r,"supported_parameters=frequency_penalty,include_reasoning,logit_bias,logprobs,max_tokens,min_p,presence_penalty,reasoning,repetition_penalty,response_format,seed,stop,structured_outputs,temperature,tool_choice,tools,top_k,top_logprobs,top_p;probe_incompatible:z-ai/glm-5:extract_026__iso_8601:syntactic=False:semantic=False"
