accuracy,format,input_style,n,timezone_representation
1.0,iso_8601,ambiguous_but_resolved,308,utc_or_z
0.60101,iso_8601,canonical_text,198,abbr_or_gmt
0.854454,iso_8601,canonical_text,2178,iana_zone
0.973485,iso_8601,compact_structured,528,numeric_offset
0.964646,iso_8601,compact_structured,198,utc_or_z
0.929752,iso_8601,prose_messy,484,abbr_or_gmt
0.727273,iso_8601,prose_messy,176,iana_zone
0.869318,iso_8601,prose_messy,176,numeric_offset
0.75974,iso_8601,prose_messy,154,utc_or_z
0.912338,javascript_date,ambiguous_but_resolved,308,utc_or_z
0.510101,javascript_date,canonical_text,198,abbr_or_gmt
0.758035,javascript_date,canonical_text,2178,iana_zone
0.840909,javascript_date,compact_structured,528,numeric_offset
0.838384,javascript_date,compact_structured,198,utc_or_z
0.818182,javascript_date,prose_messy,484,abbr_or_gmt
0.704545,javascript_date,prose_messy,176,iana_zone
0.704545,javascript_date,prose_messy,176,numeric_offset
0.720779,javascript_date,prose_messy,154,utc_or_z
0.970779,natural_language,ambiguous_but_resolved,308,utc_or_z
0.540404,natural_language,canonical_text,198,abbr_or_gmt
0.785124,natural_language,canonical_text,2178,iana_zone
0.744318,natural_language,compact_structured,528,numeric_offset
0.863636,natural_language,compact_structured,198,utc_or_z
0.859504,natural_language,prose_messy,484,abbr_or_gmt
0.75,natural_language,prose_messy,176,iana_zone
0.676136,natural_language,prose_messy,176,numeric_offset
0.694805,natural_language,prose_messy,154,utc_or_z
1.0,python_datetime,ambiguous_but_resolved,308,utc_or_z
0.555556,python_datetime,canonical_text,198,abbr_or_gmt
0.860422,python_datetime,canonical_text,2178,iana_zone
0.971591,python_datetime,compact_structured,528,numeric_offset
0.964646,python_datetime,compact_structured,198,utc_or_z
0.923554,python_datetime,prose_messy,484,abbr_or_gmt
0.767045,python_datetime,prose_messy,176,iana_zone
0.857955,python_datetime,prose_messy,176,numeric_offset
0.75974,python_datetime,prose_messy,154,utc_or_z
0.974026,rfc_2822,ambiguous_but_resolved,308,utc_or_z
0.489899,rfc_2822,canonical_text,198,abbr_or_gmt
0.816345,rfc_2822,canonical_text,2178,iana_zone
0.918561,rfc_2822,compact_structured,528,numeric_offset
0.909091,rfc_2822,compact_structured,198,utc_or_z
0.913223,rfc_2822,prose_messy,484,abbr_or_gmt
0.761364,rfc_2822,prose_messy,176,iana_zone
0.818182,rfc_2822,prose_messy,176,numeric_offset
0.746753,rfc_2822,prose_messy,154,utc_or_z
1.0,rfc_3339,ambiguous_but_resolved,308,utc_or_z
0.59596,rfc_3339,canonical_text,198,abbr_or_gmt
0.855372,rfc_3339,canonical_text,2178,iana_zone
0.973485,rfc_3339,compact_structured,528,numeric_offset
0.964646,rfc_3339,compact_structured,198,utc_or_z
0.931818,rfc_3339,prose_messy,484,abbr_or_gmt
0.778409,rfc_3339,prose_messy,176,iana_zone
0.835227,rfc_3339,prose_messy,176,numeric_offset
0.779221,rfc_3339,prose_messy,154,utc_or_z
0.636364,unix_epoch,ambiguous_but_resolved,308,utc_or_z
0.282828,unix_epoch,canonical_text,198,abbr_or_gmt
0.471534,unix_epoch,canonical_text,2178,iana_zone
0.566288,unix_epoch,compact_structured,528,numeric_offset
0.510101,unix_epoch,compact_structured,198,utc_or_z
0.557851,unix_epoch,prose_messy,484,abbr_or_gmt
0.454545,unix_epoch,prose_messy,176,iana_zone
0.511364,unix_epoch,prose_messy,176,numeric_offset
0.454545,unix_epoch,prose_messy,154,utc_or_z
