anthropic_large_nr,anthropic_large_r,anthropic_med_nr,anthropic_med_r,anthropic_small_nr,anthropic_small_r,format,glm_med_nr,google_large_nr,google_large_r,google_med_nr,google_med_r,google_small_nr,google_small_r,openai_large_nr,openai_large_r,openai_med_nr,openai_med_nr_chat,openai_med_r,openai_small_nr,openai_small_r,qwen_large_nr,qwen_small_nr,task_type
100.0,100.0,100.0,100.0,97.14,100.0,iso_8601,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.14,100.0,100.0,100.0,100.0,100.0,97.14,direct_generation
100.0,100.0,100.0,100.0,91.43,97.14,javascript_date,97.14,100.0,97.14,100.0,100.0,100.0,100.0,100.0,85.71,91.43,100.0,100.0,100.0,100.0,14.29,0.0,direct_generation
100.0,100.0,97.14,100.0,94.29,94.29,natural_language,91.43,100.0,100.0,82.86,97.14,97.14,82.86,97.14,82.86,94.29,94.29,85.71,97.14,94.29,51.43,48.57,direct_generation
100.0,100.0,100.0,100.0,97.14,100.0,python_datetime,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.14,100.0,94.29,91.43,direct_generation
100.0,100.0,100.0,100.0,97.14,100.0,rfc_2822,97.14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.14,100.0,100.0,97.14,100.0,97.14,60.0,direct_generation
100.0,100.0,100.0,100.0,97.14,100.0,rfc_3339,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,direct_generation
17.14,37.14,28.57,85.71,2.86,17.14,unix_epoch,20.0,100.0,88.57,85.71,100.0,45.71,85.71,82.86,100.0,25.71,100.0,97.14,94.29,94.29,14.29,2.86,direct_generation
94.29,82.86,91.43,88.57,88.57,97.14,iso_8601,82.86,85.71,82.86,80.0,82.86,80.0,80.0,82.86,82.86,88.57,82.86,82.86,82.86,85.71,82.86,77.14,edge_cases
94.29,88.57,94.29,88.57,94.29,94.29,javascript_date,62.86,82.86,82.86,77.14,82.86,82.86,77.14,80.0,82.86,85.71,82.86,82.86,85.71,85.71,5.71,0.0,edge_cases
82.86,85.71,80.0,88.57,88.57,94.29,natural_language,80.0,82.86,85.71,71.43,82.86,88.57,62.86,88.57,80.0,97.14,85.71,85.71,88.57,88.57,31.43,37.14,edge_cases
82.86,88.57,97.14,91.43,88.57,94.29,python_datetime,82.86,82.86,85.71,80.0,82.86,80.0,80.0,85.71,82.86,91.43,82.86,100.0,85.71,85.71,80.0,74.29,edge_cases
94.29,82.86,80.0,88.57,88.57,91.43,rfc_2822,80.0,82.86,85.71,74.29,82.86,77.14,74.29,82.86,82.86,91.43,82.86,85.71,85.71,88.57,65.71,45.71,edge_cases
94.29,82.86,94.29,88.57,88.57,91.43,rfc_3339,82.86,82.86,85.71,80.0,82.86,80.0,80.0,82.86,82.86,82.86,82.86,85.71,85.71,88.57,82.86,71.43,edge_cases
14.29,60.0,20.0,85.71,0.0,31.43,unix_epoch,25.71,85.71,77.14,60.0,77.14,11.43,48.57,51.43,80.0,8.57,80.0,80.0,68.57,82.86,11.43,8.57,edge_cases
73.33,80.0,86.67,93.33,70.0,63.33,iso_8601,83.33,80.0,76.67,86.67,73.33,70.0,80.0,86.67,90.0,86.67,96.67,93.33,83.33,83.33,43.33,46.67,extraction_from_passage
70.0,90.0,73.33,80.0,56.67,80.0,javascript_date,46.67,80.0,76.67,83.33,70.0,73.33,83.33,70.0,80.0,53.33,96.67,96.67,90.0,86.67,0.0,0.0,extraction_from_passage
76.67,70.0,80.0,76.67,86.67,76.67,natural_language,50.0,80.0,76.67,83.33,70.0,70.0,80.0,86.67,100.0,66.67,83.33,76.67,70.0,73.33,3.33,16.67,extraction_from_passage
66.67,83.33,80.0,86.67,86.67,70.0,python_datetime,96.67,76.67,76.67,86.67,63.33,70.0,83.33,90.0,93.33,66.67,96.67,96.67,80.0,86.67,60.0,40.0,extraction_from_passage
80.0,86.67,83.33,83.33,80.0,60.0,rfc_2822,90.0,80.0,73.33,86.67,73.33,70.0,83.33,90.0,96.67,80.0,96.67,93.33,83.33,90.0,13.33,26.67,extraction_from_passage
66.67,76.67,83.33,96.67,76.67,70.0,rfc_3339,86.67,80.0,76.67,93.33,80.0,70.0,86.67,96.67,93.33,83.33,100.0,90.0,76.67,80.0,43.33,43.33,extraction_from_passage
10.0,53.33,13.33,73.33,0.0,23.33,unix_epoch,10.0,83.33,80.0,53.33,63.33,20.0,56.67,50.0,96.67,13.33,93.33,90.0,63.33,76.67,3.33,0.0,extraction_from_passage
85.71,100.0,88.57,91.43,85.71,85.71,iso_8601,88.57,100.0,94.29,94.29,94.29,97.14,94.29,85.71,100.0,85.71,97.14,100.0,100.0,97.14,88.57,85.71,format_conversion
91.43,94.29,91.43,91.43,85.71,88.57,javascript_date,62.86,94.29,94.29,94.29,97.14,91.43,94.29,85.71,94.29,82.86,97.14,100.0,100.0,97.14,2.86,0.0,format_conversion
77.14,85.71,65.71,77.14,74.29,74.29,natural_language,57.14,97.14,91.43,68.57,65.71,68.57,71.43,42.86,40.0,68.57,60.0,37.14,80.0,85.71,2.86,11.43,format_conversion
82.86,97.14,82.86,88.57,80.0,85.71,python_datetime,80.0,100.0,97.14,94.29,94.29,88.57,88.57,80.0,100.0,80.0,94.29,100.0,94.29,91.43,80.0,77.14,format_conversion
85.71,91.43,82.86,91.43,85.71,85.71,rfc_2822,82.86,100.0,100.0,94.29,91.43,94.29,94.29,82.86,100.0,82.86,91.43,100.0,94.29,97.14,74.29,57.14,format_conversion
88.57,94.29,88.57,88.57,88.57,88.57,rfc_3339,91.43,100.0,97.14,94.29,91.43,88.57,91.43,88.57,100.0,88.57,97.14,100.0,97.14,97.14,88.57,88.57,format_conversion
25.71,45.71,20.0,77.14,0.0,34.29,unix_epoch,8.57,97.14,94.29,77.14,100.0,31.43,71.43,68.57,88.57,11.43,100.0,97.14,100.0,97.14,11.43,0.0,format_conversion
97.14,100.0,77.14,100.0,25.71,80.0,iso_8601,94.29,97.14,91.43,91.43,100.0,91.43,94.29,82.86,100.0,40.0,97.14,100.0,100.0,97.14,77.14,62.86,multi_hop_reasoning
85.71,97.14,51.43,94.29,14.29,77.14,javascript_date,60.0,100.0,88.57,77.14,100.0,82.86,74.29,65.71,100.0,54.29,94.29,97.14,100.0,97.14,0.0,0.0,multi_hop_reasoning
88.57,100.0,71.43,100.0,14.29,77.14,natural_language,91.43,100.0,97.14,65.71,100.0,82.86,57.14,77.14,100.0,48.57,97.14,100.0,97.14,97.14,17.14,14.29,multi_hop_reasoning
97.14,100.0,77.14,97.14,22.86,82.86,python_datetime,91.43,100.0,97.14,97.14,100.0,91.43,97.14,80.0,100.0,45.71,97.14,97.14,100.0,100.0,82.86,45.71,multi_hop_reasoning
91.43,100.0,88.57,94.29,20.0,74.29,rfc_2822,94.29,100.0,100.0,60.0,100.0,65.71,65.71,74.29,100.0,48.57,100.0,100.0,100.0,100.0,65.71,25.71,multi_hop_reasoning
97.14,97.14,77.14,100.0,17.14,85.71,rfc_3339,91.43,100.0,94.29,91.43,100.0,91.43,91.43,77.14,100.0,42.86,100.0,100.0,100.0,97.14,80.0,62.86,multi_hop_reasoning
28.57,54.29,51.43,65.71,0.0,22.86,unix_epoch,5.71,91.43,91.43,20.0,97.14,0.0,8.57,0.0,100.0,0.0,97.14,97.14,82.86,77.14,0.0,0.0,multi_hop_reasoning
100.0,100.0,100.0,100.0,96.0,100.0,iso_8601,100.0,100.0,100.0,96.0,100.0,96.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,96.0,100.0,100.0,parsing_normalization
100.0,100.0,100.0,100.0,88.0,100.0,javascript_date,68.0,100.0,96.0,96.0,100.0,100.0,96.0,100.0,96.0,96.0,100.0,100.0,100.0,100.0,12.0,0.0,parsing_normalization
96.0,96.0,88.0,92.0,96.0,96.0,natural_language,88.0,96.0,96.0,80.0,100.0,92.0,76.0,88.0,80.0,88.0,84.0,84.0,84.0,88.0,36.0,56.0,parsing_normalization
100.0,100.0,100.0,100.0,96.0,100.0,python_datetime,100.0,100.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0,100.0,92.0,parsing_normalization
100.0,100.0,100.0,100.0,100.0,100.0,rfc_2822,96.0,100.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0,76.0,72.0,parsing_normalization
100.0,100.0,100.0,100.0,96.0,100.0,rfc_3339,100.0,100.0,96.0,96.0,100.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,parsing_normalization
20.0,60.0,24.0,80.0,0.0,44.0,unix_epoch,12.0,92.0,96.0,84.0,96.0,56.0,88.0,72.0,100.0,28.0,100.0,100.0,92.0,96.0,4.0,12.0,parsing_normalization
85.0,80.0,80.0,82.5,55.0,80.0,iso_8601,80.0,82.5,80.0,82.5,82.5,80.0,85.0,80.0,80.0,70.0,80.0,80.0,80.0,77.5,77.5,75.0,temporal_arithmetic
82.5,80.0,67.5,87.5,45.0,72.5,javascript_date,72.5,82.5,80.0,72.5,82.5,72.5,75.0,72.5,77.5,65.0,80.0,80.0,77.5,75.0,5.0,0.0,temporal_arithmetic
77.5,77.5,65.0,80.0,42.5,82.5,natural_language,77.5,82.5,77.5,75.0,82.5,77.5,70.0,77.5,70.0,62.5,80.0,77.5,77.5,80.0,35.0,12.5,temporal_arithmetic
85.0,80.0,90.0,80.0,67.5,80.0,python_datetime,82.5,82.5,80.0,80.0,80.0,85.0,80.0,80.0,77.5,72.5,77.5,82.5,77.5,82.5,70.0,57.5,temporal_arithmetic
82.5,80.0,55.0,85.0,52.5,82.5,rfc_2822,75.0,80.0,80.0,70.0,80.0,70.0,75.0,75.0,80.0,62.5,80.0,77.5,75.0,75.0,52.5,37.5,temporal_arithmetic
